name,site,L,a,b,R,G,B,size_mb
CYM_Farm_S_2026-05-17_11-00_wrasse00008215_track_manual_42-192_20260826_143827,Ramsey Sound Farm,55.49931,-21.388718,-24.793892,0.5277256944444444,147.33138888888888,177.64923611111112,9.057602
CYM_Farm_S_2026-05-17_17-00_wrasse00000095_track_manual_148-325_20260826_144046,Ramsey Sound Farm,59.899303,-26.902168,-20.546303,0.6759201388888889,159.65465277777778,180.34223958333334,15.590853
CYM_Farm_S_2026-05-24_11-00_fishpollack00002535_track_manual_58-190_20260826_144713,Ramsey Sound Farm,59.222946,-24.15538,-23.881264,0.40760416666666666,156.92411458333333,184.22826388888888,10.313326
CYM_Farm_S_2026-05-24_11-00_fishpollack00002535_track_manual_75-177_20260826_144441,Ramsey Sound Farm,59.263165,-24.152931,-23.9104,0.39788194444444447,157.03171875,184.38395833333334,10.310916
CYM_Farm_S_2026-05-24_11-00_fishpollack00007765_track_manual_66-187_20260826_144921,Ramsey Sound Farm,59.738644,-23.183578,-25.586525,0.39394097222222224,158.02142361111112,188.60880208333333,9.543426
CYM_Farm_S_2026-05-24_17-00_crab00007150_track_manual_151-935_20260826_145224,Ramsey Sound Farm,58.953056,-18.735832,-30.04866,12.379861111111111,154.71772569444445,194.39446180555555,27.039457
CYM_Farm_S_2026-05-25_11-00_pollack00002450_track_manual_25-159_20260826_145359,Ramsey Sound Farm,58.28988,-17.033646,-32.558228,0.6887847222222222,152.1521527777778,197.01873263888888,9.442345
CYM_Farm_S_2026-05-25_11-00_wrasse00008360_track_manual_81-220_20260826_145658,Ramsey Sound Farm,58.606136,-18.07698,-31.453087,0.6669097222222222,153.3735763888889,195.94805555555556,8.91431
CYM_Farm_S_2026-05-26_11-00_pollack00004345_track_manual_112-369_20260826_145914,Ramsey Sound Farm,57.91344,-14.141998,-35.197655,12.165677083333334,150.18909722222222,200.58885416666666,7.7193
CYM_Farm_S_2026-05-27_08-00_wrassepollack00004885_track_manual_96-357_20260826_151939,Ramsey Sound Farm,55.77426,-5.550766,-44.074585,11.475381944444445,141.30805555555557,210.24527777777777,6.53964
CYM_Farm_S_2026-05-27_08-00_wrassepollack00006095_track_manual_108-168_20260826_153241,Ramsey Sound Farm,56.776142,-7.9135437,-42.55684,0.9917534722222222,144.91803819444445,210.35161458333334,9.952997
CYM_Farm_S_2026-05-27_08-00_wrassepollack00008345_track_manual_70-225_20260826_153417,Ramsey Sound Farm,57.92894,-7.8572235,-43.37429,0.9648090277777778,147.93289930555557,214.93446180555554,10.274353
CYM_Farm_S_2026-05-28_14-00_shark00002500_track_manual_11-96_20260826_153554,Ramsey Sound Farm,58.552025,-15.55304,-34.630592,0.9346180555555555,152.31166666666667,201.3425,9.79602
CYM_Farm_S_2026-05-29_14-00_pollackcrab00000000_track_manual_109-391_20260826_153857,Ramsey Sound Farm,58.07033,-45.336563,18.349289,33.51321180555556,159.38097222222223,106.93890625,9.221789
CYM_Farm_S_2026-05-30_17-00_wrasse00004815_track_manual_42-140_20260826_154221,Ramsey Sound Farm,58.982903,-17.660019,-32.249725,0.7987152777777777,154.22078125,198.35145833333334,12.269726
CYM_Farm_S_2026-06-02_14-00_wrasses00000605_track_manual_58-148_20260826_154530,Ramsey Sound Farm,60.61164,-55.64038,33.02768,0.5346006944444445,169.20378472222222,85.15154513888889,5.991543
CYM_Farm_S_2026-06-02_14-00_wrasses00004490_track_manual_48-163_20260826_154854,Ramsey Sound Farm,60.41344,-55.218193,32.16707,0.48204861111111114,168.61869791666666,86.43578125,6.082293
CYM_Farm_S_2026-06-07_14-00_wrasse00004840_track_manual_55-260_20260826_155035,Ramsey Sound Farm,58.6161,-17.283264,-32.47896,0.6650868055555555,153.11953125,197.76671875,11.186862
CYM_Farm_S_2026-06-07_17-00_wrasse00005760_track_manual_39-174_20260826_155226,Ramsey Sound Farm,57.002174,-11.655159,-38.337555,0.8342013888888888,146.81645833333334,203.57902777777778,13.667778
